Int ID, Act ID,Question Asked, Player1Answer,Player2Answer
1,2, I felt as if the virtual hands were part of my body.,6,6,Fitted
1,2, It sometimes seemed like my own hands  came into contact with the buttons.,4,5,Fitted
1,2, I thought the virtual hands on  the screen looked realistic.,2,4,Fitted
1,2, I was so immersed in the virtual  environment, it seemed real.,5,2,Fitted
1,2, I felt like using my virtual hands to communicate was fun.,7,7,Fitted
1,2, I felt like I could very efficiently use  my virtual hands to complete the task.,6,4,Fitted
1,2, I felt as if I could cause movements  of the virtual hands.,5,4,Fitted
1,2, It felt as if I could control movements  of the virtual hands.,4,1,Fitted
1,2, I felt as if the virtual hands moved just like  I wanted them to, as if they were obeying my own will,6,6,Fitted
1,2, My thoughts were clear to my partner.,7,5,Fitted
1,2, My partner’s thoughts were clear to me.,7,5,Fitted
1,2, It was easy to understand my partner.,5,6,Fitted
1,2, Understanding my partner was difficult.,3,3,Fitted
1,2, My partner had difficulty understanding me,2,1,Fitted
1,2, The other person let me know that  I was communicating effectively.,6,5,Fitted
1,2, Nothing was accomplished.,1,2,Fitted
1,2, I was very dissatisfied with the  communication with my partner during the game.,2,1,Fitted
1,2, I felt that during the game I was able  to present myself as I wanted the other person to view me.,6,5,Fitted
1,2, I did not enjoy communicating with  my partner during the game.,7,2,Fitted
1,2, How mentally demanding was the task?,2,4,Fitted
1,2, How physically demanding was the task?,3,2,Fitted
1,2, How hurried or rushed was the pace of the task?,5,4,Fitted
1,2, How successful were you in accomplishing  what you were asked to do?,8,10,Fitted
1,2, How hard did you have to work to accomplish  your level of performance?,8,9,Fitted
1,2, How insecure, discouraged, irritated,  stressed, and annoyed were you?,9,8,Fitted
1,2, I felt as if the virtual hands were part of my body.,7,1,Small
1,2, It sometimes seemed like my own hands  came into contact with the buttons.,6,5,Small
1,2, I thought the virtual hands on  the screen looked realistic.,6,2,Small
1,2, I was so immersed in the virtual  environment, it seemed real.,4,5,Small
1,2, I felt like using my virtual hands to communicate was fun.,4,2,Small
1,2, I felt like I could very efficiently use  my virtual hands to complete the task.,4,4,Small
1,2, I felt as if I could cause movements  of the virtual hands.,4,4,Small
1,2, It felt as if I could control movements  of the virtual hands.,4,4,Small
1,2, I felt as if the virtual hands moved just like  I wanted them to, as if they were obeying my own will,4,2,Small
1,2, My thoughts were clear to my partner.,4,2,Small
1,2, My partner’s thoughts were clear to me.,4,4,Small
1,2, It was easy to understand my partner.,4,6,Small
1,2, Understanding my partner was difficult.,4,2,Small
1,2, My partner had difficulty understanding me,4,2,Small
1,2, The other person let me know that  I was communicating effectively.,4,2,Small
1,2, Nothing was accomplished.,4,1,Small
1,2, I was very dissatisfied with the  communication with my partner during the game.,4,1,Small
1,2, I felt that during the game I was able  to present myself as I wanted the other person to view me.,3,2,Small
1,2, I did not enjoy communicating with  my partner during the game.,3,5,Small
1,2, How mentally demanding was the task?,5,1,Small
1,2, How physically demanding was the task?,5,6,Small
1,2, How hurried or rushed was the pace of the task?,4,9,Small
1,2, How successful were you in accomplishing  what you were asked to do?,5,6,Small
1,2, How hard did you have to work to accomplish  your level of performance?,5,9,Small
1,2, How insecure, discouraged, irritated,  stressed, and annoyed were you?,5,7,Small
1,2, I felt as if the virtual hands were part of my body.,4,6,Large
1,2, It sometimes seemed like my own hands  came into contact with the buttons.,4,6,Large
1,2, I thought the virtual hands on  the screen looked realistic.,4,6,Large
1,2, I was so immersed in the virtual  environment, it seemed real.,4,7,Large
1,2, I felt like using my virtual hands to communicate was fun.,4,5,Large
1,2, I felt like I could very efficiently use  my virtual hands to complete the task.,4,6,Large
1,2, I felt as if I could cause movements  of the virtual hands.,4,7,Large
1,2, It felt as if I could control movements  of the virtual hands.,4,7,Large
1,2, I felt as if the virtual hands moved just like  I wanted them to, as if they were obeying my own will,4,7,Large
1,2, My thoughts were clear to my partner.,4,7,Large
1,2, My partner’s thoughts were clear to me.,4,7,Large
1,2, It was easy to understand my partner.,4,5,Large
1,2, Understanding my partner was difficult.,4,7,Large
1,2, My partner had difficulty understanding me,4,6,Large
1,2, The other person let me know that  I was communicating effectively.,4,7,Large
1,2, Nothing was accomplished.,4,6,Large
1,2, I was very dissatisfied with the  communication with my partner during the game.,4,5,Large
1,2, I felt that during the game I was able  to present myself as I wanted the other person to view me.,4,6,Large
1,2, I did not enjoy communicating with  my partner during the game.,4,5,Large
1,2, How mentally demanding was the task?,6,9,Large
1,2, How physically demanding was the task?,6,7,Large
1,2, How hurried or rushed was the pace of the task?,6,7,Large
1,2, How successful were you in accomplishing  what you were asked to do?,6,7,Large
1,2, How hard did you have to work to accomplish  your level of performance?,6,7,Large
